id,Completed,Last page seen,Start language,Token,Date last action,Date started,IP address,DemP,DemR,RID,Weight,Weight2,Mobile device,Tablet device,SGENDER,IBIRTHYEAR,IAGEGROUPSET1,IAGEGROUPSET2,IAGEGROUPSET3,IAGEGROUPSET4,IAGEGROUPSET5,DemPC,COUNTRY,RESPONDENT,Q4 [1],Q4 [2],Q4 [3],Q4 [4],Q4 [5],Q4 [6],Q4 [7],Q4 [8],Q4 [9],Q4 [10],Q20x1 [1],Q20x1 [2],Q20x1 [3],Q20x2 [1],Q20x2 [2],Q20x2 [3],Q20x3 [1],Q20x3 [2],Q20x3 [3],Q20x4 [1],Q20x4 [2],Q20x4 [3],Q24,Q25
482,2023-07-03 17:07:59,4,en,,2023-07-03 17:07:59,2023-07-03 16:57:16,,,,882a02d6-7eb9-f6ea-aed9-3601c4be394c,1,1,N,N,Female,2004,,,,,,3340,2,1,Sport 1,Xxl,,,,,,,,,Zalando,Blivakker,Hm,Xxl,Coop obs,Sporten,Sport 1,Xxl,Coop obs,Zalando,Nakd,Bli vakker,Hmmm bedre butikker,Hyggelig snsatte
483,2023-07-03 17:12:42,4,en,,2023-07-03 17:12:42,2023-07-03 16:59:48,,,,b6af1772-b494-ca13-2b7d-23849bcbf1a7,1,1,N,N,Female,1962,,,,,,2818,2,1,xxl,,,,,,,,,,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,usikker,usikker
484,2023-07-03 17:21:54,4,en,,2023-07-03 17:21:54,2023-07-03 17:04:15,,,,8580bd2a-c8e4-e9fc-0525-89abe14ceff2,1,1,N,N,Male,1958,,,,,,7018,2,1,Intersport,Xxl,Coop,Outlet tiller,Sport1,,,,,,Mammut,Helsport,Head,Adidas,Puma,Callaway,Fischer,Head,Husker ikke,Mamut,Adidas,Puma,Bedre betjening og lavere pris,Skaffe bedre og mer betjening
485,2023-07-03 17:37:29,4,en,,2023-07-03 17:37:29,2023-07-03 17:07:33,,,,0ddcd417-d02b-4c6e-5918-e0f784b376c3,1,1,N,N,Female,1992,,,,,,0271,2,1,Xxl,Tights,,,,,,,,,Bergans,Helly Hansen,Levity,Hoka,Levity,Adidas,Ingen,Ingen,Ingen,Kari traa,Vet ikke,Vet ikke,Mer salg av mat og helsekost i tillegg til klær og utstyr,Enten bedre nettbutikk eller flere fysiske butikker
486,2023-07-03 17:26:27,4,en,,2023-07-03 17:26:27,2023-07-03 17:13:10,,,,7392de7c-c8b6-21d9-0873-eab9a65681e6,1,1,N,N,Male,1992,,,,,,1454,2,1,Trønderlag,Fronderlag,Manderlag,,,,,,,,Merkevare nr. 1,Meerkevare nr. 2,Merkevare nr. 3,Merkevare nr 1,Merkevare nr 2,Merkevare nr 3,Merkevare nr 1,Merkevare nr 2,Merkevare nr 3,Merkevare nr 1,Merkevare nr 2,Merkevare nr 3,Bedre behov og interesser som vekker meg.,Lavere priser på produkter.
487,2023-07-03 17:36:35,4,en,,2023-07-03 17:36:35,2023-07-03 17:32:14,,,,6e2b1fab-7948-6825-b3a4-2b00eefc4130,1,1,N,N,Male,2002,,,,,,3736,2,1,,,,,,,,,,,sko,skio,la,bmw,volvo,nickeh 30,tyja,neu,ja,seks,bra,fire,,ja
488,2023-07-03 17:55:28,4,en,,2023-07-03 17:55:28,2023-07-03 17:47:33,,,,520f1ad4-fc0c-c64f-97db-2e24a551c422,1,1,N,N,Female,1977,,,,,,1473,2,1,,,,,,,,,,,Xxl,Nike,HJ,HH,Skechers,Bet ikke,Eosignal,Bet ikke,Ingen,Nike,Adidas,Ingen,,Salg
489,2023-07-03 18:02:18,4,en,,2023-07-03 18:02:18,2023-07-03 17:49:45,,,,50b85c1c-d662-e6bd-2013-6893bd25f6fc,1,1,N,N,Male,1978,,,,,,6010,2,1,Nike,Inter sports,JJB sports,,,,,,,,Sko,Nike,XXL,XXL,Nike,Inter sports,Ski store,Obs,Online,Nike,Inter sports,XXL,Nike,Cheaper prices and cleaner store
490,2023-07-03 18:03:05,4,en,,2023-07-03 18:03:05,2023-07-03 17:50:49,,,,766f1c35-542a-9e10-f73a-28441395ddd2,1,1,N,N,Male,1973,,,,,,4520,2,1,Bergans,Helly hansen,,,,,,,,,Usikker,Usikker,Usikker,Usikker,Usikker,Usikker,Usikker,Usikker,Usikker,Usikker,Usikkr,Usikker,Pris,Bedre priser
491,2023-07-03 18:04:48,4,en,,2023-07-03 18:04:48,2023-07-03 17:55:19,,,,545d606f-3d27-09ca-c460-5476618d06b5,1,1,N,N,Female,1960,,,,,,2007,2,1,,,,,,,,,,,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,,vet ikke
492,2023-07-03 18:31:08,4,en,,2023-07-03 18:31:08,2023-07-03 18:06:38,,,,4af01f6c-5645-eb74-6963-2bdbfa41f58b,1,1,N,N,Male,1958,,,,,,0493,2,1,Xxl,Gresvik,Sport 1,Intersport,Sport Outlet,Anton sport,,,,,Salomon,Helly Hansen,Viking,Fischer,Rottefella,Ullvang,Fischer,Scott,Rottefella,Helly Hansen,Salomon,Viking,??,??
493,2023-07-03 19:23:21,4,en,,2023-07-03 19:23:21,2023-07-03 18:46:08,,,,0c05a574-ba9b-e4d1-9a7b-912ebd693990,1,1,N,N,Female,1988,,,,,,4027,2,1,Xxl,Sport Outlet,Intersport,,,,,,,,Adidas,Vet ikke,Vet ikke,Nike,Adidas,Rönisch,Garmin,Polar,Northug,Nike,Adidas,Move Mountains,Kommuniserer tilbud til barn bedre,Guide til elsykler
494,2023-07-03 19:10:22,4,en,,2023-07-03 19:10:22,2023-07-03 18:58:05,,,,27d7b650-801b-304a-485f-82fc37aabcca,1,1,N,N,Male,1981,,,,,,3225,2,1,Xxl,,,,,,,,,,Nike,Hooka,Mizuno,Hooka,Mizuna,Adidas,Aastad,Adidas,Nike,Nike,Mizuno,Hooka,Tilbud og rabatter koder osv,Klubb avtaler
495,2023-07-03 19:27:42,4,en,,2023-07-03 19:27:42,2023-07-03 19:13:08,,,,91446bfd-1972-9a68-d8f2-5f6f28785967,1,1,N,N,Female,2005,,,,,,9511,2,1,sport outlet,,,,,,,,,,H&M,Sport outlet,Sport1,Sport outlet,Sport1,XXL,Sport1,Clas ohlson,XXL,skoringen,H&M,Sport1,Lettere og finne ting,Bedre kundeservice
496,2023-07-03 19:40:02,4,en,,2023-07-03 19:40:02,2023-07-03 19:17:21,,,,b46d1332-3382-d65b-f13d-274615a57ca8,1,1,N,N,Female,2003,,,,,,0864,2,1,Xxl,Intersport,,,,,,,,,Gymshark,Nike,Famme,Nike,Adidas,Gymshark,Fitbit,Apple,Kari traa,Gymshark,Hm,Nike,Bedre tilbud,Bedre tilbud
497,2023-07-03 19:30:14,4,en,,2023-07-03 19:30:14,2023-07-03 19:18:50,,,,05263394-f12c-e3f5-ba9b-070da80ccd0e,1,1,N,N,Female,1999,,,,,,6700,2,1,Sport outlet,xxl,sport1,,,,,,,,Bumpro,Hoka,Sportoutlet,Tights.no,Sportoutlet,Nike,vet ikke,vet ikke,vet ikke,Nike,Tights.no,Vet ikke,"Er ikke alltid jeg tenker over at XXL er en butikk, da de ikke har noe fysisk butikk de nærmeste timene der jeg bor",Sende meg gode tilbud
498,2023-07-03 19:35:06,4,en,,2023-07-03 19:35:06,2023-07-03 19:26:24,,,,e66b9f47-6fd5-1281-f748-ab40a658d0dd,1,1,N,N,Male,1998,,,,,,1890,2,1,,,,,,,,,,,Njff,Berreta,Nike,Nike,Nike,Nike,Nike,Nike,Nike,Nike,Nike,Nike,,Billigere
499,2023-07-03 20:00:20,4,en,,2023-07-03 20:00:20,2023-07-03 19:49:58,,,,d280790e-1817-369c-9801-4dab4c5bdce5,1,1,N,N,Male,1997,,,,,,2130,2,1,xxl,g sport,sport 1,,,,,,,,bergans,nike,stormberg,ok,ok,ok,xxl,-,-,-,-,-,bra tilbud,mer fiske
500,2023-07-03 20:06:57,4,en,,2023-07-03 20:06:57,2023-07-03 19:55:39,,,,840401d5-a75e-6f71-96da-352f62d3194f,1,1,N,N,Female,1996,,,,,,8340,2,1,Nike,Adidas,Zalando,About you,,,,,,,Calvin Klein,Karl Lagerfeld,Tommy Hilfiger,Nike,Adidas,Calvin Klein,Ingen,Ingen,Ingen,Karl Lagerfeld,Polo Ralph Lauren,Nike,Nike,Det er bedre produkter i Nike
501,2023-07-03 21:17:21,4,en,,2023-07-03 21:17:21,2023-07-03 21:01:59,,,,147cd5a5-ac8e-f489-ecaa-e157aad5907f,1,1,N,N,Female,1980,,,,,,37152,3,1,Sportamore,Intersport,Stadium,,,,,,,,Adidas,Nike,Puma,Nike,Adidas,Peak Performance,Jag vet inte,Jag vet inte,Jag vet inte,Nike,Adidas,Peak Performance,Jag vet inte. Jag handlar inte så mycket sportkläder och skor.,Jag vet inte. Jag har aldrig tänkt på det.
502,2023-07-03 21:27:52,4,en,,2023-07-03 21:27:52,2023-07-03 21:02:22,,,,2da50245-3219-248b-354a-368e57cc8aa5,1,1,N,N,Female,1958,,,,,,43934,3,1,Stadium,Intersport,Xxl,,,,,,,,Vet ej,Vet ej,Vet ej,Asics,Hoka,Adidas,Vet ej,Vet ej,Vet ej,Adidas,Nike,Vet ej,För långt bort. Handlar på hemmaplan,Flytta närmare
503,2023-07-03 21:57:45,4,en,,2023-07-03 21:57:45,2023-07-03 21:03:46,,,,3ae2fc35-fb7b-a1ea-723a-c8c919a5b7d1,1,1,N,N,Female,1968,,,,,,91291,3,1,,,,,,,,,,,..,.,.,.,.,.,.,.,.,.,.,.,,Ikget
504,2023-07-04 13:52:48,4,en,,2023-07-04 13:52:48,2023-07-04 13:35:08,,,,ea104f2f-9a51-2f90-d420-7b3b39c07ef0,1,1,N,N,Female,1962,,,,,,72226,3,1,stadium,xxl,,,,,,,,,Fjällräven,adiddas,reebook,adiddas,xxl,puma,cresent,jofa,puma,adiddas,puma,xxl,billigare priser,vet ej
505,2023-07-04 13:44:25,4,en,,2023-07-04 13:44:25,2023-07-04 13:35:10,,,,b4a6dc9b-37f6-bc6a-6294-e88dad6fb701,1,1,N,N,Male,1999,,,,,,17569,3,1,nike,,,,,,,,,,nike,nike,nike,nike,nike,nike,nike,nike,nike,nike,nike,nike,Väldigt bra,Väldigt bra
506,2023-07-04 13:53:29,4,en,,2023-07-04 13:53:29,2023-07-04 13:35:17,,,,506c543f-fd2d-350e-a830-604709b77da5,1,1,N,N,Male,1986,,,,,,12641,3,1,,,,,,,,,,,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,Nej
507,2023-07-04 13:51:43,4,en,,2023-07-04 13:51:43,2023-07-04 13:35:17,,,,53fd9399-f4bd-f5d7-3996-a7d6692f1407,1,1,N,N,Female,1993,,,,,,57262,3,1,Naturkompaniet,Intersport,Stadium,TeamSportia,Sportringen,,,,,,Haglöfs,Fjällräven,Nike,Nike,Adidas,Reebok,Monark,Sjösala,Apple,Nike,Adidas,Fjällräven,Fler erbjudanden om rabatter och kampanjer.,Erbjuda fler rabatter och kampanjer. Ha låga konkurrerande priser jämfört med konkurrenterna.
508,2023-07-04 13:51:08,4,en,,2023-07-04 13:51:08,2023-07-04 13:35:23,,,,68210732-b775-66e4-e53d-330acaef33a8,1,1,N,N,Male,1991,,,,,,12237,3,1,nike,,,,,,,,,,nike,h&m,adidas,nike,h&m,adidas,nike,h&m,adidas,nike,h&m,adidas,diversifiera,diversifiera
509,2023-07-04 13:53:57,4,en,,2023-07-04 13:53:57,2023-07-04 13:35:25,,,,c5719dbd-e08f-fbc9-b5b2-a95ac5146027,1,1,N,N,Male,1990,,,,,,11239,3,1,nike,,,,,,,,,,nike,xxl,h&M,nike,xxl,H&M,nike,xxl,H&M,nike,xxl,h&M,xxl,uitstekend
510,2023-07-04 13:49:47,4,en,,2023-07-04 13:49:47,2023-07-04 13:35:34,,,,9fdf5e63-492c-3fbc-1b6c-6af4fcb5cdf9,1,1,N,N,Male,1989,,,,,,12264,3,1,nike,,,,,,,,,,nike,puam,h&m,puam,nike,h&M,nike,h&m,puam,nike,h&m,adidas,Passa,diversifiera
511,2023-07-04 13:56:19,4,en,,2023-07-04 13:56:19,2023-07-04 13:35:35,,,,4b14931a-85ef-f432-d015-a73f317f0580,1,1,N,N,Male,1989,,,,,,12838,3,1,,,,,,,,,,,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,Nej
512,2023-07-04 13:45:39,4,en,,2023-07-04 13:45:39,2023-07-04 13:35:39,,,,3dd15433-404c-3a9f-153c-60fae1dfc0a9,1,1,N,N,Male,1989,,,,,,11226,3,1,nike,,,,,,,,,,nike,H&M,Adidas,Adidas,nike,h&m,nike,Adidas,h&m,Adidas,nike,h&m,nike,uitstekend
513,2023-07-04 13:54:17,4,en,,2023-07-04 13:54:17,2023-07-04 13:35:47,,,,ae2ad7f4-5232-a323-eefb-e3010d459516,1,1,N,N,Female,1979,,,,,,21456,3,1,stadium,xxl,intersport,,,,,,,,haganös,adidas,nike,adidas,nike,soc,vet ej,peak pwrformence,salmo,hm,reebook,nike,stadium,bättre produkter
514,2023-07-04 13:50:15,4,en,,2023-07-04 13:50:15,2023-07-04 13:35:49,,,,ba37c4af-47a7-b1d1-f3a0-f01c0ad0874d,1,1,N,N,Male,1998,,,,,,80267,3,1,Stadium,Intersport,Xxl,Stadium outlet,,,,,,,Vet ej,Vet ej,Vet ej,Addidas,Nike,Vet ej,Vet ej,Vet ej,Vet ej,Addidas,Nike,Vet ej,Ännu bättre priser men framförallt mer centrala butiker,Vet ej
515,2023-07-04 13:54:04,4,en,,2023-07-04 13:54:04,2023-07-04 13:36:01,,,,66e5c123-7323-ba42-212c-f5ce4b53f4b9,1,1,N,N,Male,1989,,,,,,11336,3,1,nike,,,,,,,,,,nike,xxl,h&m,nike,xxl,H&M,nike,xxl,H&M,nike,xxl,H&M,xxl,uitstekend
516,2023-07-04 13:46:40,4,en,,2023-07-04 13:46:40,2023-07-04 13:36:05,,,,014c4a81-daa7-33dc-888e-7e67a8dc5d1b,1,1,N,N,Male,1986,,,,,,11431,3,1,nike,,,,,,,,,,Adidas,nike,h&m,Adidas,nike,h&M,Adidas,nike,h&m,Adidas,nike,h&m,nike,uitstekend
517,2023-07-04 13:47:48,4,en,,2023-07-04 13:47:48,2023-07-04 13:36:13,,,,29bf5011-63eb-2ea0-7b1e-649414167b8d,1,1,N,N,Male,2000,,,,,,75648,3,1,stadium,h&m,new york,,,,,,,,adiddas,puma,nike,intersport,stadium,adidas,puma,adiddas,nike,adiddas,puma,nike,stadium,"den ser inte ut så mycket proffesionel, och oftast I stadium t.ex. kan man bara köpa kläder och i XXL kan man köpa flera olika saker from olika sorters. vilket känns mera som ett super market"
518,2023-07-04 13:55:08,4,en,,2023-07-04 13:55:08,2023-07-04 13:36:14,,,,b1fbbd11-6d82-c378-3f1e-89d05478e98b,1,1,N,N,Male,1987,,,,,,42653,3,1,Nike,,,,,,,,,,NIKE,Adidas,Uniqlo,Nike,Adidas,Uniqlo,Nike,Adidas,Uniqlo,Nike,Adidas,Uniqlo,Kostnadsresultat,Kostnadsresultat
519,2023-07-04 13:55:16,4,en,,2023-07-04 13:55:16,2023-07-04 13:36:15,,,,39ef41de-7968-3fcf-2bd1-75c4008afd44,1,1,N,N,Male,1988,,,,,,41718,3,1,Nike,,,,,,,,,,NIKE,Adidas,Uniqlo,Nike,Adidas,Uniqlo,Nike,Adidas,Uniqlo,Nike,Adidas,Uniqlo,Kostnadsresultat,Kostnadsresultat
520,2023-07-04 13:55:16,4,en,,2023-07-04 13:55:16,2023-07-04 13:36:16,,,,7c1c59b4-8a36-2049-d8bb-6d37f54c0e2e,1,1,N,N,Male,1989,,,,,,42543,3,1,THULE,,,,,,,,,,THULE,THULE,THULE,THULE,THULE,THULE,8848 Altitude,Nike,HM,8848 Altitude,8848 Altitude,8848 Altitude,service,service
521,2023-07-04 13:55:23,4,en,,2023-07-04 13:55:23,2023-07-04 13:36:16,,,,25e79da0-71b7-e38d-23af-a9cc4455f53a,1,1,N,N,Male,1989,,,,,,41830,3,1,Nike,,,,,,,,,,NIKE,Adidas,Uniqlo,Nike,Adidas,Uniqlo,Nike,Adidas,Uniqlo,NikeNike,Adidas,Uniqlo,Kostnadsresultat,Kostnadsresultat
522,2023-07-04 13:49:16,4,en,,2023-07-04 13:49:16,2023-07-04 13:36:20,,,,c83cfaeb-ada6-8100-f8e4-ce17af222d71,1,1,N,N,Male,1986,,,,,,12047,3,1,,,,,,,,,,,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,Nej
523,2023-07-04 13:54:28,4,en,,2023-07-04 13:54:28,2023-07-04 13:36:43,,,,836ebd0e-e413-c0e5-aa01-894594ee00f9,1,1,N,N,Female,1983,,,,,,19252,3,1,Stadium,Intersport,XLL sport,,,,,,,,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Om butikerna låg närmare,Inte vara så stort och rörigt
524,2023-07-04 14:07:06,4,en,,2023-07-04 14:07:06,2023-07-04 13:36:56,,,,f2650faa-6b4e-4ef1-a1a5-3b4ed5f48f36,1,1,N,N,Male,1974,,,,,,13172,3,1,Naturkompaniet,Stadium,XXL Sports,Intersport,Fjällräven Outlet i Övik,,,,,,Fjällräven,Haglöfs,Helly Hansen,Under Armour,Brooks,Hoka,Speedo,Oakley,Salomon,Nike,Adidas,Puma,Billigare priser,"XXL är bra, trevliga butiker, bra utbud. Jag tycker de gör det bra, det är lite trevligare i en Stadium men om man tar XXL vs Stadium outlet så vinner XXL med hästlängder. XXL är bra på det sättet att det är en riktigt sportaffär med sportgrejor men jag ägnar mig bara åt gym, löpning, simning, samt har ett &#34frilufts-kit&#34 så jag är inte i målgruppen."
525,2023-07-04 15:17:17,4,en,,2023-07-04 15:17:17,2023-07-04 13:37:32,,,,83afe171-fe57-21f9-6b7e-d5841b36ff91,1,1,N,N,Male,1990,,,,,,12135,3,1,Xxl,,,,,,,,,,Xxl,Sportamore,Decathlon,Xxl,Intersport,Stadium,Xxl,Stadium,Intersport,Xxl,Decathlon,Intersport,Bättre priser och erbjudanden,Finare modeller och nredare sortiment
526,2023-07-04 15:30:05,4,en,,2023-07-04 15:30:05,2023-07-04 13:37:37,,,,acf3ed1b-d7f6-2cc9-3714-d9d8f4cd3f81,1,1,N,N,Female,2002,,,,,,91431,3,1,Stadium,Intersport,Sportringen,,,,,,,,Stadium,Zalando,Intersport,Stadium,Hm,Zalando,Stadium,Zalando,Hm,Zalando,Stadium,Intersport,Bättre utbud och priser,"Större utbud, olika prisklasser"
527,2023-07-04 13:55:56,4,en,,2023-07-04 13:55:56,2023-07-04 13:37:41,,,,6e32c8b1-5cb0-881d-f6be-fc1990cdb852,1,1,N,N,Male,2007,,,,,,44460,3,1,Xxl,Stadium,Intersport,,,,,,,,Vet inte,Vet inet,Vet inte,Nike,Adidas,Puma,Poc,Fox,Outnorth,Hm,Zalando,Vet ej,Xxl,Bättre märken
528,2023-07-04 14:02:22,4,en,,2023-07-04 14:02:22,2023-07-04 13:37:43,,,,0cac84c1-3b0a-c583-68ce-b087c0bbbf0d,1,1,N,N,Male,1972,,,,,,37023,3,1,intersport,teamsportia,,,,,,,,,adddas,fjälräven,puma,addidas,puma,björn borg,addidas,puma,borg,inget,inget,inget,bättre pris,mer reor
529,2023-07-04 13:52:51,4,en,,2023-07-04 13:52:51,2023-07-04 13:37:43,,,,3d410d8a-1333-cac5-8585-396afe401777,1,1,N,N,Female,1973,,,,,,4313,2,1,,,,,,,,,,,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,,Vet ikke
530,2023-07-04 13:53:08,4,en,,2023-07-04 13:53:08,2023-07-04 13:37:46,,,,341c7488-0899-35e8-d887-4037d8ea8f6a,1,1,N,N,Male,1972,,,,,,41834,3,1,Stadium,Intersport,Igor,,,,,,,,Vet ej,Ingen,Ingenting,Soc,Adidas,Nike,Adidas,Nike,Puma,Adidas,Soc,Nike,Utbud,Bättre utbud & högre kvalitet
531,2023-07-04 13:47:49,4,en,,2023-07-04 13:47:49,2023-07-04 13:38:01,,,,25c59768-0dbd-5d4d-0167-a3ee4ccaed8a,1,1,N,N,Female,,,,,,,12530,3,1,XXL,Stadium,Intersport,,,,,,,,Fjällräven,Helly Hansen,Vet ej,Nike,Adidas,vet ej,Salomon,Crescent,vet ej,HM,stadium,xxl,Bra priser och erbjudanden,vet ej
532,2023-07-04 13:57:17,4,en,,2023-07-04 13:57:17,2023-07-04 13:38:15,,,,beda22cd-fcf5-ea13-1ec2-16f1d2de1b52,1,1,N,N,Male,2003,,,,,,73531,3,1,Stadium,,,,,,,,,,Nike,Bauer,Adidas,Nike,Runhill,Adidas,Sportbutiken,Intetsport,Stadium,Nike,Nike,Nike,Billigare på xxl,Bättre pris
533,2023-07-04 14:04:40,4,en,,2023-07-04 14:04:40,2023-07-04 13:38:16,,,,8056d02e-33d8-18c6-9221-e47d90ecdbfb,1,1,N,N,Male,1969,,,,,,90627,3,1,Xxl,Team sportia,Intersport,Sportringen,,,,,,,Outnorth,-,-,New balance,Asics,Adidas,-,-,-,Nike,Adidas,Under Armour,Mer erbjudanden o bättre priser,Vet ej
534,2023-07-04 18:21:08,4,en,,2023-07-04 18:21:08,2023-07-04 13:38:23,,,,1cd5dab1-4313-7e19-11be-eefecec4c44d,1,1,N,N,Female,1988,,,,,,42248,3,1,Nike,,,,,,,,,,Xxl,Team sporti,Nike,Nike,Outnorth,Adidas,Nike,Xxl,Team sportia,Nike,Xxl,Team sportia,Xxl,Xxl
535,2023-07-04 13:52:06,4,en,,2023-07-04 13:52:06,2023-07-04 13:38:23,,,,035c12f3-eac4-b665-98fc-267791012d04,1,1,N,N,Female,1977,,,,,,57135,3,1,Stadium,Intersoprt,Topsport,,,,,,,,Adidas,Nike,Puma,Puma,Adidas,Vet ej,Vet ej,Nike,Puma,Nike,Puma,Puma,Närmare staden,Bättre oriser
536,2023-07-04 13:50:45,4,en,,2023-07-04 13:50:45,2023-07-04 13:38:26,,,,f4cf1c17-bc3f-b8ab-0b18-28e43a9879f4,1,1,N,N,Male,1989,,,,,,45870,3,1,,,,,,,,,,,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,,Vet inte
537,2023-07-04 14:08:58,4,en,,2023-07-04 14:08:58,2023-07-04 13:38:28,,,,62e3b9be-e563-1c6d-27b1-8dc83db6025c,1,1,N,N,Female,1968,,,,,,55614,3,1,Team Sportia,Intersport,XXL,,,,,,,,Fjällräven,The North Face,Everest,Adidas,Nike,Puma,Crescent,Salomon,Monark,Adidas,The North Face,Fjällräven,Bättre priser på det som jag vill köpa,Fler kvalitetsprodukter till billigare priser
538,2023-07-04 13:53:44,4,en,,2023-07-04 13:53:44,2023-07-04 13:38:31,,,,f565b4cf-7be7-7f2a-a1c0-804e80c7ff2c,1,1,N,N,Female,1992,,,,,,11424,3,1,fjällräven,xxl,revolution race,stadium,stadium outlet,,,,,,revolution race,fjällräven,haglöfs,hm,marine,soc,peak,poc,xxl,hm,åhlens,soc,bättre priser,bättre priser och ta in märken med större storlekar
539,2023-07-04 13:51:32,4,en,,2023-07-04 13:51:32,2023-07-04 13:38:33,,,,d9b1e34e-153a-4935-7541-d79a6eecf2d5,1,1,N,N,Male,1984,,,,,,57632,3,1,Team sportia,Intersport,,,,,,,,,Fjällräven,Osäker,Osäker,Adidas,Nike,Reikker,Salming,Crescent,Monark,Reikker,Osäker,Osäker,"Närhet, pris",Annonsera mer.handlar främst där jag tidigare handlat.
540,2023-07-04 13:48:19,4,en,,2023-07-04 13:48:19,2023-07-04 13:38:40,,,,0e016cf0-053f-2fa7-c5ff-582ad586ed6c,1,1,N,N,Male,1979,,,,,,72132,3,1,,,,,,,,,,,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,,känner ej till
541,2023-07-04 13:49:44,4,en,,2023-07-04 13:49:44,2023-07-04 13:38:41,,,,af7b95b5-677e-394d-bfba-a150a7d1e054,1,1,N,N,Male,,,,,,,4352,2,1,Sport outlet,,,,,,,,,,Bergans,.,.,Ingen,Ingen,Ingen,Ingen,Ingen,Ingen,Ingen,Ingen,Ingen,Pris,Lavere pris
542,2023-07-04 14:03:39,4,en,,2023-07-04 14:03:39,2023-07-04 13:38:47,,,,6f1726e4-8b7f-e6ff-d3eb-123c0843137e,1,1,N,N,Female,1959,,,,,,72348,3,1,,,,,,,,,,,Nike,Ecco,Adidas,Nike,Asics,Brooks,Elan,Cresent,Solhaga,Ecco,McKinley,Seaside,,Lättare att hitta varan
543,2023-07-04 14:01:50,4,en,,2023-07-04 14:01:50,2023-07-04 13:38:56,,,,5a4fe8d3-c417-5b5a-8bdc-dc64afd72149,1,1,N,N,Female,1983,,,,,,25249,3,1,Stadium,,,,,,,,,,Reebook,Adidas,Nike,Adidas,Nike,Puma,Stadium,Monark,Vet inte,Adidas,Nike,Vans,Större utbud,Vet inte
544,2023-07-04 13:56:51,4,en,,2023-07-04 13:56:51,2023-07-04 13:39:21,,,,611ed992-889e-67b7-da9d-ed3544640f08,1,1,N,N,Male,1989,,,,,,16765,3,1,nike,,,,,,,,,,nike,nike,nike,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,bekväm,Väldigt bra
545,2023-07-04 13:59:40,4,en,,2023-07-04 13:59:40,2023-07-04 13:40:05,,,,adffc588-b1f2-0d29-3b87-f1d48099555c,1,1,N,N,Female,1955,,,,,,8515,2,1,,,,,,,,,,,ingen,ingen,ingen,ingen,ingen,ingen,ingen,ingen,ingen,ingen,ingen,ingen,,Vet ikke
546,2023-07-04 13:58:40,4,en,,2023-07-04 13:58:40,2023-07-04 13:40:12,,,,9841cc26-cf46-0b90-8529-f86aa27d28e2,1,1,N,N,Female,1992,,,,,,14730,3,1,team sportia,intersport,länna sport,stadium,sportamore,naturkompianiet,outnorth,,,,fjällräven,lundhags,outnorth,nike,reebok,puma,vet ej,vet ej,vet ej,nike,reebok,hm,Att varorna finns i de storlekar jag vill köpa. Gäller båda företagen.,Bättre hemsida.
547,2023-07-04 13:56:42,4,en,,2023-07-04 13:56:42,2023-07-04 13:40:20,,,,eea2be78-348a-cc90-6777-8a89ce04b3e2,1,1,N,N,Male,1990,,,,,,16761,3,1,nike,,,,,,,,,,nike,nike,nike,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,bekväm,Väldigt bra
548,2023-07-04 13:58:45,4,en,,2023-07-04 13:58:45,2023-07-04 13:40:34,,,,b1111c2a-3e9d-5d95-d425-283a7a27dbb1,1,1,N,N,Female,1987,,,,,,6160,2,1,Sport Outlet,XXL,Sport1,Gsport,,,,,,,Bergans,Hagløfs,Norheim,Asics,Adidas,Puma,Merida,Diamant,Madshus,Bergans,Asics,Casall,Viss eg ser eit godt tilbud og treng noko spesielt.,Tilby spesialtilbud til meg som kunde.
549,2023-07-04 13:57:09,4,en,,2023-07-04 13:57:09,2023-07-04 13:40:37,,,,94bc4bd0-2a40-0b0a-79df-7f9722fbad4a,1,1,N,N,Male,1986,,,,,,16351,3,1,nike,,,,,,,,,,nike,nike,nike,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,Adidas,bekväm,Väldigt bra
